id_str,from_user,created_at,time,user_lang,,,,,,
9.40282870995833E+017,sadullahgrgel,Mon Dec 11 18:11:20 +0000 2017,11/12/2017 18:11:20,tr,,,,,,
9.40282869498467E+017,batukcbss,Mon Dec 11 18:11:20 +0000 2017,11/12/2017 18:11:20,tr,,,,,,
9.40282864654062E+017,Iykecool2,Mon Dec 11 18:11:19 +0000 2017,11/12/2017 18:11:19,en,,,,,,
9.40282862317769E+017,gbayindir,Mon Dec 11 18:11:18 +0000 2017,11/12/2017 18:11:18,tr,,,,,,
9.40282859570582E+017,AashishElias,Mon Dec 11 18:11:17 +0000 2017,11/12/2017 18:11:17,en,,,,,,
9.40282854797468E+017,Cengizy22,Mon Dec 11 18:11:16 +0000 2017,11/12/2017 18:11:16,tr,,,,,,
9.40282851207123E+017,alex27_Tec,Mon Dec 11 18:11:15 +0000 2017,11/12/2017 18:11:15,es,,,,,,
9.40282850435363E+017,OlukoyaQ,Mon Dec 11 18:11:15 +0000 2017,11/12/2017 18:11:15,en,,,,,,
9.40282849076367E+017,reyyanonder,Mon Dec 11 18:11:15 +0000 2017,11/12/2017 18:11:15,tr,,,,,,
9.40282848023667E+017,ali_side07,Mon Dec 11 18:11:15 +0000 2017,11/12/2017 18:11:15,tr,,,,,,
9.40282847956521E+017,PepeNaranjo1,Mon Dec 11 18:11:15 +0000 2017,11/12/2017 18:11:15,es,,,,,,
9.40282847306375E+017,melekrmg,Mon Dec 11 18:11:15 +0000 2017,11/12/2017 18:11:15,tr,,,,,,
9.40282838011794E+017,OskarPoet,Mon Dec 11 18:11:12 +0000 2017,11/12/2017 18:11:12,en,,,,,,
9.40282833809134E+017,MattiEronen1979,Mon Dec 11 18:11:11 +0000 2017,11/12/2017 18:11:11,fi,,,,,,
9.40282821352088E+017,omererdogan23,Mon Dec 11 18:11:08 +0000 2017,11/12/2017 18:11:08,tr,,,,,,
9.40282819041022E+017,edy_sifuentes,Mon Dec 11 18:11:08 +0000 2017,11/12/2017 18:11:08,es,,,,,,
9.40282815295435E+017,superDIABLOrojo,Mon Dec 11 18:11:07 +0000 2017,11/12/2017 18:11:07,es,,,,,,
9.40282807754134E+017,Tyler_Dolan98,Mon Dec 11 18:11:05 +0000 2017,11/12/2017 18:11:05,en,,,,,,
9.4028280024628E+017,JordanWarsop26,Mon Dec 11 18:11:03 +0000 2017,11/12/2017 18:11:03,en,,,,,,
9.40282796672655E+017,santinoroque11,Mon Dec 11 18:11:02 +0000 2017,11/12/2017 18:11:02,fil,,,,,,
9.40282792381952E+017,Koco1903,Mon Dec 11 18:11:01 +0000 2017,11/12/2017 18:11:01,en,,,,,,
9.40282792214258E+017,bariskalay,Mon Dec 11 18:11:01 +0000 2017,11/12/2017 18:11:01,en,,,,,,
9.40282789907362E+017,jourdainNkona,Mon Dec 11 18:11:01 +0000 2017,11/12/2017 18:11:01,en,,,,,,
9.40282789143777E+017,FlashScore_in,Mon Dec 11 18:11:01 +0000 2017,11/12/2017 18:11:01,en,,,,,,
9.40282784601526E+017,ScrodyScro,Mon Dec 11 18:11:00 +0000 2017,11/12/2017 18:11:00,en,,,,,,
9.40282775218938E+017,MysticaIMane,Mon Dec 11 18:10:57 +0000 2017,11/12/2017 18:10:57,en,,,,,,
9.40282774715617E+017,ricky_q7,Mon Dec 11 18:10:57 +0000 2017,11/12/2017 18:10:57,tr,,,,,,
9.40282774103216E+017,Alpo__,Mon Dec 11 18:10:57 +0000 2017,11/12/2017 18:10:57,fr,,,,,,
9.4028276647798E+017,mteresagon1,Mon Dec 11 18:10:55 +0000 2017,11/12/2017 18:10:55,ca,,,,,,
9.40282766335279E+017,BlackEagle__7,Mon Dec 11 18:10:55 +0000 2017,11/12/2017 18:10:55,tr,,,,,,
9.40282755832799E+017,BenkafGH,Mon Dec 11 18:10:53 +0000 2017,11/12/2017 18:10:53,en,,,,,,
9.40282755526676E+017,uznnn,Mon Dec 11 18:10:53 +0000 2017,11/12/2017 18:10:53,en,,,,,,
9.40282754775896E+017,AaronR97,Mon Dec 11 18:10:53 +0000 2017,11/12/2017 18:10:53,es,,,,,,
9.40282750862475E+017,josue_mick16,Mon Dec 11 18:10:52 +0000 2017,11/12/2017 18:10:52,es,,,,,,
9.40282750728331E+017,ustaBerkayy,Mon Dec 11 18:10:52 +0000 2017,11/12/2017 18:10:52,tr,,,,,,
9.40282748002062E+017,hayordejee007,Mon Dec 11 18:10:51 +0000 2017,11/12/2017 18:10:51,en,,,,,,
9.40282747096044E+017,emekylmzz,Mon Dec 11 18:10:51 +0000 2017,11/12/2017 18:10:51,en,,,,,,
9.40282743925207E+017,ilkNoer40,Mon Dec 11 18:10:50 +0000 2017,11/12/2017 18:10:50,nl,,,,,,
9.40282741379047E+017,HayashiYasuji,Mon Dec 11 18:10:49 +0000 2017,11/12/2017 18:10:49,en,,,,,,
9.40282727453954E+017,Andrew64160106,Mon Dec 11 18:10:46 +0000 2017,11/12/2017 18:10:46,en,,,,,,
9.40282726074028E+017,kurniaven,Mon Dec 11 18:10:46 +0000 2017,11/12/2017 18:10:46,id,,,,,,
9.4028272091109E+017,sammyblade2,Mon Dec 11 18:10:44 +0000 2017,11/12/2017 18:10:44,en,,,,,,
9.40282719543681E+017,carmenfcb97,Mon Dec 11 18:10:44 +0000 2017,11/12/2017 18:10:44,es,,,,,,
9.40282715684966E+017,Dudlls,Mon Dec 11 18:10:43 +0000 2017,11/12/2017 18:10:43,pt,,,,,,
9.40282714527109E+017,MbuguaXIV,Mon Dec 11 18:10:43 +0000 2017,11/12/2017 18:10:43,en,,,,,,
9.40282711738143E+017,besstttee,Mon Dec 11 18:10:42 +0000 2017,11/12/2017 18:10:42,tr,,,,,,
9.40282710609814E+017,orhan_aksoy10,Mon Dec 11 18:10:42 +0000 2017,11/12/2017 18:10:42,tr,,,,,,
9.40282710198808E+017,kaan1005,Mon Dec 11 18:10:42 +0000 2017,11/12/2017 18:10:42,de,,,,,,
9.40282701667537E+017,FCBMariam_,Mon Dec 11 18:10:40 +0000 2017,11/12/2017 18:10:40,en,,,,,,
9.40282700082139E+017,GALAMagnificent,Mon Dec 11 18:10:39 +0000 2017,11/12/2017 18:10:39,de,,,,,,
9.40282699469804E+017,Andre_Costa95,Mon Dec 11 18:10:39 +0000 2017,11/12/2017 18:10:39,it,,,,,,
9.40282689902596E+017,YusufSolakk1905,Mon Dec 11 18:10:37 +0000 2017,11/12/2017 18:10:37,tr,,,,,,
9.40282685703864E+017,andrew_559,Mon Dec 11 18:10:36 +0000 2017,11/12/2017 18:10:36,en,,,,,,
9.40282678556922E+017,burakkosebjk,Mon Dec 11 18:10:34 +0000 2017,11/12/2017 18:10:34,tr,,,,,,
9.40282676799406E+017,RioRiokurniadi,Mon Dec 11 18:10:34 +0000 2017,11/12/2017 18:10:34,id,,,,,,
9.40282674295574E+017,a_bayernmunich,Mon Dec 11 18:10:33 +0000 2017,11/12/2017 18:10:33,de,,,,,,
9.40282672244494E+017,omfaryeslr,Mon Dec 11 18:10:33 +0000 2017,11/12/2017 18:10:33,tr,,,,,,
9.40282670885622E+017,rana_sengul,Mon Dec 11 18:10:33 +0000 2017,11/12/2017 18:10:33,tr,,,,,,
9.40282669815955E+017,mcfrado19,Mon Dec 11 18:10:32 +0000 2017,11/12/2017 18:10:32,en,,,,,,
9.4028266966904E+017,yudicekaks,Mon Dec 11 18:10:32 +0000 2017,11/12/2017 18:10:32,id,,,,,,
9.40282669526606E+017,andre01barbosa,Mon Dec 11 18:10:32 +0000 2017,11/12/2017 18:10:32,pt,,,,,,
9.40282663973413E+017,UgsKsl,Mon Dec 11 18:10:31 +0000 2017,11/12/2017 18:10:31,tr,,,,,,
9.40282662081704E+017,RengindeAsalet,Mon Dec 11 18:10:30 +0000 2017,11/12/2017 18:10:30,en,,,,,,
9.40282661754589E+017,EricaLiuba,Mon Dec 11 18:10:30 +0000 2017,11/12/2017 18:10:30,it,,,,,,
9.40282661679063E+017,kadir19o3,Mon Dec 11 18:10:30 +0000 2017,11/12/2017 18:10:30,tr,,,,,,
9.40282660127158E+017,SKDTr,Mon Dec 11 18:10:30 +0000 2017,11/12/2017 18:10:30,tr,,,,,,
9.40282654041301E+017,Twltter90456714,Mon Dec 11 18:10:28 +0000 2017,11/12/2017 18:10:28,tr,,,,,,
9.40282652916978E+017,AzamShahrin_,Mon Dec 11 18:10:28 +0000 2017,11/12/2017 18:10:28,en,,,,,,
9.4028265082846E+017,21Huncho,Mon Dec 11 18:10:28 +0000 2017,11/12/2017 18:10:28,fr,,,,,,
9.40282648492114E+017,jorgemqg,Mon Dec 11 18:10:27 +0000 2017,11/12/2017 18:10:27,es,,,,,,
9.40282644851552E+017,Chris93YNWA,Mon Dec 11 18:10:26 +0000 2017,11/12/2017 18:10:26,en,,,,,,
9.40282644218118E+017,kunstler9tk,Mon Dec 11 18:10:26 +0000 2017,11/12/2017 18:10:26,fr,,,,,,
9.40282642410459E+017,Stanford_Nkosi,Mon Dec 11 18:10:26 +0000 2017,11/12/2017 18:10:26,en,,,,,,
9.40282642087498E+017,PupperNice,Mon Dec 11 18:10:26 +0000 2017,11/12/2017 18:10:26,en,,,,,,
9.40282638547472E+017,kunstler9tk,Mon Dec 11 18:10:25 +0000 2017,11/12/2017 18:10:25,fr,,,,,,
9.40282637092082E+017,manuela_orazi,Mon Dec 11 18:10:24 +0000 2017,11/12/2017 18:10:24,it,,,,,,
9.40282635179393E+017,juniorjones360,Mon Dec 11 18:10:24 +0000 2017,11/12/2017 18:10:24,en,,,,,,
